epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1620103103196,2021-05-03T21.38.23.196,0.000,-0.156,0.919,-0.369
1620103103277,2021-05-03T21.38.23.277,0.081,-0.155,0.925,-0.374
1620103103357,2021-05-03T21.38.23.357,0.161,-0.157,0.921,-0.372
1620103103438,2021-05-03T21.38.23.438,0.242,-0.154,0.923,-0.374
1620103103519,2021-05-03T21.38.23.519,0.323,-0.159,0.925,-0.375
1620103103599,2021-05-03T21.38.23.599,0.403,-0.159,0.921,-0.373
1620103103680,2021-05-03T21.38.23.680,0.484,-0.161,0.923,-0.372
1620103103760,2021-05-03T21.38.23.760,0.564,-0.163,0.923,-0.369
1620103103841,2021-05-03T21.38.23.841,0.645,-0.162,0.923,-0.368
1620103103921,2021-05-03T21.38.23.921,0.725,-0.163,0.923,-0.370
1620103104002,2021-05-03T21.38.24.002,0.806,-0.161,0.923,-0.371
1620103104083,2021-05-03T21.38.24.083,0.887,-0.162,0.922,-0.372
1620103104163,2021-05-03T21.38.24.163,0.967,-0.156,0.926,-0.374
1620103104244,2021-05-03T21.38.24.244,1.048,-0.160,0.921,-0.373
1620103104324,2021-05-03T21.38.24.324,1.128,-0.159,0.923,-0.372
1620103104405,2021-05-03T21.38.24.405,1.209,-0.160,0.922,-0.374
1620103104485,2021-05-03T21.38.24.485,1.289,-0.161,0.919,-0.377
1620103104566,2021-05-03T21.38.24.566,1.370,-0.162,0.918,-0.380
1620103104645,2021-05-03T21.38.24.645,1.449,-0.165,0.917,-0.382
1620103104726,2021-05-03T21.38.24.726,1.530,-0.164,0.920,-0.381
1620103104806,2021-05-03T21.38.24.806,1.610,-0.163,0.918,-0.378
1620103104887,2021-05-03T21.38.24.887,1.691,-0.163,0.921,-0.377
1620103104967,2021-05-03T21.38.24.967,1.771,-0.165,0.920,-0.379
1620103105048,2021-05-03T21.38.25.048,1.852,-0.161,0.922,-0.380
1620103105128,2021-05-03T21.38.25.128,1.932,-0.163,0.918,-0.375
1620103105209,2021-05-03T21.38.25.209,2.013,-0.162,0.920,-0.375
1620103105290,2021-05-03T21.38.25.290,2.094,-0.165,0.919,-0.377
1620103105370,2021-05-03T21.38.25.370,2.174,-0.169,0.919,-0.379
1620103105451,2021-05-03T21.38.25.451,2.255,-0.166,0.919,-0.380
1620103105531,2021-05-03T21.38.25.531,2.335,-0.170,0.918,-0.380
1620103105612,2021-05-03T21.38.25.612,2.416,-0.166,0.919,-0.380
1620103105692,2021-05-03T21.38.25.692,2.496,-0.163,0.917,-0.382
1620103105773,2021-05-03T21.38.25.773,2.577,-0.167,0.918,-0.385
1620103105854,2021-05-03T21.38.25.854,2.658,-0.168,0.916,-0.382
1620103105934,2021-05-03T21.38.25.934,2.738,-0.168,0.917,-0.383
1620103106015,2021-05-03T21.38.26.015,2.819,-0.173,0.916,-0.383
1620103106095,2021-05-03T21.38.26.095,2.899,-0.168,0.917,-0.382
1620103106174,2021-05-03T21.38.26.174,2.978,-0.169,0.917,-0.381
1620103106255,2021-05-03T21.38.26.255,3.059,-0.167,0.917,-0.378
1620103106336,2021-05-03T21.38.26.336,3.140,-0.167,0.918,-0.381
1620103106416,2021-05-03T21.38.26.416,3.220,-0.172,0.918,-0.384
1620103106497,2021-05-03T21.38.26.497,3.301,-0.162,0.919,-0.381
1620103106577,2021-05-03T21.38.26.577,3.381,-0.160,0.919,-0.375
1620103106658,2021-05-03T21.38.26.658,3.462,-0.167,0.918,-0.377
1620103106738,2021-05-03T21.38.26.738,3.542,-0.162,0.922,-0.379
1620103106819,2021-05-03T21.38.26.819,3.623,-0.163,0.921,-0.374
1620103106899,2021-05-03T21.38.26.899,3.703,-0.166,0.919,-0.373
