epoc (ms),timestamp (-0700),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1620103102956,2021-05-03T21.38.22.956,0.000,1.037,-1.341,-0.366
1620103102996,2021-05-03T21.38.22.996,0.040,1.037,-1.280,-0.183
1620103103035,2021-05-03T21.38.23.035,0.079,0.244,-0.549,-0.915
1620103103076,2021-05-03T21.38.23.076,0.120,0.366,-0.183,-1.341
1620103103116,2021-05-03T21.38.23.116,0.160,0.976,-0.488,-1.037
1620103103157,2021-05-03T21.38.23.157,0.201,1.098,-0.244,-0.854
1620103103196,2021-05-03T21.38.23.196,0.240,0.366,-0.183,-0.854
1620103103237,2021-05-03T21.38.23.237,0.281,0.122,0.183,-0.854
1620103103277,2021-05-03T21.38.23.277,0.321,0.610,0.549,-0.671
1620103103318,2021-05-03T21.38.23.318,0.362,0.366,-0.122,-0.793
1620103103357,2021-05-03T21.38.23.357,0.401,1.037,-0.732,-0.671
1620103103399,2021-05-03T21.38.23.399,0.443,1.829,-0.061,-0.183
1620103103438,2021-05-03T21.38.23.438,0.482,1.341,0.305,-0.549
1620103103479,2021-05-03T21.38.23.479,0.523,0.305,-0.061,-0.488
1620103103519,2021-05-03T21.38.23.519,0.563,-0.183,-1.037,-0.061
1620103103560,2021-05-03T21.38.23.560,0.604,0.122,-1.707,-0.244
1620103103599,2021-05-03T21.38.23.599,0.643,0.488,-2.134,-1.098
1620103103640,2021-05-03T21.38.23.640,0.684,0.488,-2.500,-0.976
1620103103680,2021-05-03T21.38.23.680,0.724,0.183,-2.744,-0.793
1620103103721,2021-05-03T21.38.23.721,0.765,0.122,-2.073,-1.037
1620103103760,2021-05-03T21.38.23.760,0.804,0.366,-1.159,-0.915
1620103103801,2021-05-03T21.38.23.801,0.845,0.427,-0.427,-0.305
1620103103841,2021-05-03T21.38.23.841,0.885,0.488,0.244,-0.244
1620103103880,2021-05-03T21.38.23.880,0.924,0.915,0.488,-0.061
1620103103921,2021-05-03T21.38.23.921,0.965,0.854,0.183,0.305
1620103103961,2021-05-03T21.38.23.961,1.005,1.402,0.000,0.122
1620103104002,2021-05-03T21.38.24.002,1.046,2.012,0.061,-0.610
1620103104042,2021-05-03T21.38.24.042,1.086,1.341,-1.037,-0.976
1620103104083,2021-05-03T21.38.24.083,1.127,1.098,-1.037,0.549
1620103104122,2021-05-03T21.38.24.122,1.166,1.280,-0.488,0.244
1620103104163,2021-05-03T21.38.24.163,1.207,0.366,0.488,-0.488
1620103104203,2021-05-03T21.38.24.203,1.247,0.000,0.244,-0.427
1620103104244,2021-05-03T21.38.24.244,1.288,0.793,-0.671,-0.122
1620103104283,2021-05-03T21.38.24.283,1.327,1.707,-1.463,-0.671
1620103104324,2021-05-03T21.38.24.324,1.368,1.646,-1.402,-0.854
1620103104364,2021-05-03T21.38.24.364,1.408,1.951,-1.098,-1.037
1620103104405,2021-05-03T21.38.24.405,1.449,1.463,-0.488,-1.037
1620103104444,2021-05-03T21.38.24.444,1.488,1.280,0.244,-0.610
1620103104485,2021-05-03T21.38.24.485,1.529,1.646,0.549,-0.427
1620103104525,2021-05-03T21.38.24.525,1.569,1.402,0.610,-0.610
1620103104566,2021-05-03T21.38.24.566,1.610,1.463,0.366,-0.915
1620103104606,2021-05-03T21.38.24.606,1.650,1.585,-0.366,-0.915
1620103104647,2021-05-03T21.38.24.647,1.691,1.280,-0.976,-0.549
1620103104686,2021-05-03T21.38.24.686,1.730,1.341,-0.427,-0.366
1620103104727,2021-05-03T21.38.24.727,1.771,0.854,-0.732,-1.037
1620103104767,2021-05-03T21.38.24.767,1.811,0.427,-0.549,-0.061
1620103104806,2021-05-03T21.38.24.806,1.850,0.732,-0.244,0.122
1620103104847,2021-05-03T21.38.24.847,1.891,0.488,0.244,-0.366
1620103104887,2021-05-03T21.38.24.887,1.931,0.366,0.244,-0.183
1620103104928,2021-05-03T21.38.24.928,1.972,0.183,-0.549,-0.183
1620103104967,2021-05-03T21.38.24.967,2.011,0.671,-1.037,-0.244
1620103105008,2021-05-03T21.38.25.008,2.052,-0.061,-1.402,-0.427
1620103105048,2021-05-03T21.38.25.048,2.092,-1.098,-1.341,-0.549
1620103105089,2021-05-03T21.38.25.089,2.133,-0.244,-1.220,-1.037
1620103105128,2021-05-03T21.38.25.128,2.172,0.610,-1.220,-0.671
1620103105170,2021-05-03T21.38.25.170,2.214,1.037,-0.915,-0.366
1620103105209,2021-05-03T21.38.25.209,2.253,1.280,-0.122,-0.854
1620103105250,2021-05-03T21.38.25.250,2.294,1.341,0.610,-0.976
1620103105290,2021-05-03T21.38.25.290,2.334,1.646,0.366,-1.159
1620103105331,2021-05-03T21.38.25.331,2.375,1.220,-0.366,-1.341
1620103105370,2021-05-03T21.38.25.370,2.414,0.793,-0.793,-1.220
1620103105411,2021-05-03T21.38.25.411,2.455,0.915,-0.488,-0.732
