epoc (ms),timestamp (-0700),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1620102718890,2021-05-03T21.31.58.890,0.000,-0.058,0.942,-0.324
1620102718971,2021-05-03T21.31.58.971,0.081,-0.053,0.948,-0.326
1620102913043,2021-05-03T21.35.13.043,194.153,-0.083,0.831,-0.556
1620102913124,2021-05-03T21.35.13.124,194.234,-0.084,0.840,-0.560
1620102913205,2021-05-03T21.35.13.205,194.315,-0.081,0.836,-0.559
1620102913285,2021-05-03T21.35.13.285,194.395,-0.083,0.836,-0.561
1620102913366,2021-05-03T21.35.13.366,194.476,-0.083,0.836,-0.560
1620102913446,2021-05-03T21.35.13.446,194.556,-0.085,0.836,-0.561
1620102913527,2021-05-03T21.35.13.527,194.637,-0.075,0.841,-0.559
1620102913607,2021-05-03T21.35.13.607,194.717,-0.086,0.839,-0.552
1620102913688,2021-05-03T21.35.13.688,194.798,-0.091,0.841,-0.553
1620102913768,2021-05-03T21.35.13.768,194.878,-0.084,0.836,-0.553
1620102913849,2021-05-03T21.35.13.849,194.959,-0.085,0.839,-0.558
1620102913928,2021-05-03T21.35.13.928,195.038,-0.086,0.835,-0.558
1620102914009,2021-05-03T21.35.14.009,195.119,-0.081,0.839,-0.559
1620102914089,2021-05-03T21.35.14.089,195.199,-0.081,0.839,-0.558
1620102914170,2021-05-03T21.35.14.170,195.280,-0.079,0.838,-0.556
1620102914250,2021-05-03T21.35.14.250,195.360,-0.092,0.836,-0.552
1620102914331,2021-05-03T21.35.14.331,195.441,-0.102,0.835,-0.557
1620102914412,2021-05-03T21.35.14.412,195.522,-0.093,0.833,-0.561
1620102914492,2021-05-03T21.35.14.492,195.602,-0.102,0.838,-0.560
1620102914573,2021-05-03T21.35.14.573,195.683,-0.094,0.837,-0.553
1620102914653,2021-05-03T21.35.14.653,195.763,-0.091,0.842,-0.554
1620102914734,2021-05-03T21.35.14.734,195.844,-0.092,0.840,-0.551
1620102914814,2021-05-03T21.35.14.814,195.924,-0.089,0.835,-0.551
1620102914895,2021-05-03T21.35.14.895,196.005,-0.088,0.843,-0.554
1620102914976,2021-05-03T21.35.14.976,196.086,-0.084,0.838,-0.553
1620102915056,2021-05-03T21.35.15.056,196.166,-0.086,0.841,-0.554
1620102915137,2021-05-03T21.35.15.137,196.247,-0.088,0.842,-0.552
1620102915217,2021-05-03T21.35.15.217,196.327,-0.085,0.840,-0.552
1620102915298,2021-05-03T21.35.15.298,196.408,-0.089,0.841,-0.551
1620102915378,2021-05-03T21.35.15.378,196.488,-0.089,0.842,-0.551
1620102915459,2021-05-03T21.35.15.459,196.569,-0.089,0.839,-0.550
1620102915538,2021-05-03T21.35.15.538,196.648,-0.092,0.839,-0.553
1620102915619,2021-05-03T21.35.15.619,196.729,-0.091,0.842,-0.555
1620102915699,2021-05-03T21.35.15.699,196.809,-0.085,0.838,-0.550
1620102915780,2021-05-03T21.35.15.780,196.890,-0.090,0.843,-0.554
1620102915860,2021-05-03T21.35.15.860,196.970,-0.088,0.838,-0.551
1620102915941,2021-05-03T21.35.15.941,197.051,-0.091,0.841,-0.555
1620102916021,2021-05-03T21.35.16.021,197.131,-0.093,0.839,-0.553
1620102916102,2021-05-03T21.35.16.102,197.212,-0.091,0.840,-0.554
1620102916183,2021-05-03T21.35.16.183,197.293,-0.090,0.838,-0.554
1620102916263,2021-05-03T21.35.16.263,197.373,-0.090,0.839,-0.554
1620102916344,2021-05-03T21.35.16.344,197.454,-0.087,0.839,-0.555
1620102916424,2021-05-03T21.35.16.424,197.534,-0.089,0.839,-0.555
1620102916505,2021-05-03T21.35.16.505,197.615,-0.088,0.838,-0.553
1620102916585,2021-05-03T21.35.16.585,197.695,-0.091,0.842,-0.554
1620102916666,2021-05-03T21.35.16.666,197.776,-0.085,0.839,-0.551
1620102916747,2021-05-03T21.35.16.747,197.857,-0.091,0.839,-0.553
1620102916827,2021-05-03T21.35.16.827,197.937,-0.084,0.841,-0.554
1620102916908,2021-05-03T21.35.16.908,198.018,-0.090,0.837,-0.554
1620102916988,2021-05-03T21.35.16.988,198.098,-0.081,0.843,-0.555
1620102917069,2021-05-03T21.35.17.069,198.179,-0.088,0.838,-0.554
1620102917149,2021-05-03T21.35.17.149,198.259,-0.104,0.833,-0.554
1620102917228,2021-05-03T21.35.17.228,198.338,-0.086,0.846,-0.554
1620102917309,2021-05-03T21.35.17.309,198.419,-0.093,0.835,-0.552
1620102917390,2021-05-03T21.35.17.390,198.500,-0.105,0.842,-0.555
1620102917470,2021-05-03T21.35.17.470,198.580,-0.088,0.840,-0.550
1620102917551,2021-05-03T21.35.17.551,198.661,-0.094,0.839,-0.551
1620102917631,2021-05-03T21.35.17.631,198.741,-0.092,0.846,-0.551
1620102917712,2021-05-03T21.35.17.712,198.822,-0.087,0.840,-0.546
1620102917792,2021-05-03T21.35.17.792,198.902,-0.090,0.845,-0.549
1620102917873,2021-05-03T21.35.17.873,198.983,-0.088,0.840,-0.548
1620102917954,2021-05-03T21.35.17.954,199.064,-0.096,0.843,-0.551
1620102918034,2021-05-03T21.35.18.034,199.144,-0.097,0.839,-0.552
1620102918115,2021-05-03T21.35.18.115,199.225,-0.098,0.841,-0.553
1620102918195,2021-05-03T21.35.18.195,199.305,-0.096,0.840,-0.551
1620102918276,2021-05-03T21.35.18.276,199.386,-0.095,0.840,-0.550
1620102918356,2021-05-03T21.35.18.356,199.466,-0.091,0.844,-0.550
1620102918437,2021-05-03T21.35.18.437,199.547,-0.088,0.842,-0.548
