epoc (ms),timestamp (-0700),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1620102718609,2021-05-03T21.31.58.609,0.000,0.549,-0.549,-1.646
1620102718649,2021-05-03T21.31.58.649,0.040,0.549,-0.793,-1.829
1620102718690,2021-05-03T21.31.58.690,0.081,-0.122,-1.220,-0.671
1620102718729,2021-05-03T21.31.58.729,0.120,0.000,-0.732,0.183
1620102718770,2021-05-03T21.31.58.770,0.161,1.037,0.488,-0.610
1620102718810,2021-05-03T21.31.58.810,0.201,0.610,1.098,-0.976
1620102718851,2021-05-03T21.31.58.851,0.242,0.122,0.488,-0.305
1620102718890,2021-05-03T21.31.58.890,0.281,0.427,-0.366,0.122
1620102718931,2021-05-03T21.31.58.931,0.322,1.159,-0.122,-0.061
1620102912802,2021-05-03T21.35.12.802,194.193,0.244,-0.976,0.366
1620102912843,2021-05-03T21.35.12.843,194.234,-0.183,-0.671,-0.122
1620102912882,2021-05-03T21.35.12.882,194.273,0.183,-0.305,-0.244
1620102912923,2021-05-03T21.35.12.923,194.314,1.220,-0.427,-0.671
1620102912963,2021-05-03T21.35.12.963,194.354,0.610,-0.793,-0.549
1620102913002,2021-05-03T21.35.13.002,194.393,0.000,-1.037,-0.122
1620102913043,2021-05-03T21.35.13.043,194.434,0.488,-1.098,-0.427
1620102913083,2021-05-03T21.35.13.083,194.474,0.488,-1.037,-0.610
1620102913124,2021-05-03T21.35.13.124,194.515,0.244,-0.671,-0.183
1620102913164,2021-05-03T21.35.13.164,194.555,0.244,0.000,-0.061
1620102913205,2021-05-03T21.35.13.205,194.596,0.488,0.427,-0.366
1620102913244,2021-05-03T21.35.13.244,194.635,0.610,0.305,-0.488
1620102913285,2021-05-03T21.35.13.285,194.676,0.549,-0.305,-0.183
1620102913325,2021-05-03T21.35.13.325,194.716,0.427,-0.671,0.061
1620102913366,2021-05-03T21.35.13.366,194.757,0.244,-0.854,-0.488
1620102913405,2021-05-03T21.35.13.405,194.796,0.244,-1.341,-0.427
1620102913446,2021-05-03T21.35.13.446,194.837,0.183,-1.707,0.671
1620102913486,2021-05-03T21.35.13.486,194.877,-0.366,-1.159,0.549
1620102913527,2021-05-03T21.35.13.527,194.918,-0.976,0.122,-0.732
1620102913566,2021-05-03T21.35.13.566,194.957,-1.037,0.427,-1.890
1620102913607,2021-05-03T21.35.13.607,194.998,-0.671,-0.244,-1.646
1620102913647,2021-05-03T21.35.13.647,195.038,0.000,-1.585,-1.159
1620102913688,2021-05-03T21.35.13.688,195.079,-0.061,-1.951,-0.610
1620102913727,2021-05-03T21.35.13.727,195.118,0.732,-0.793,-0.610
1620102913768,2021-05-03T21.35.13.768,195.159,1.707,0.488,-0.793
1620102913808,2021-05-03T21.35.13.808,195.199,1.098,1.280,-0.610
1620102913849,2021-05-03T21.35.13.849,195.240,0.610,1.098,-1.037
1620102913889,2021-05-03T21.35.13.889,195.280,1.037,0.366,-0.732
1620102913928,2021-05-03T21.35.13.928,195.319,1.402,-0.244,-0.549
1620102913969,2021-05-03T21.35.13.969,195.360,0.854,0.061,-1.037
1620102914009,2021-05-03T21.35.14.009,195.400,0.366,0.549,-0.976
1620102914050,2021-05-03T21.35.14.050,195.441,0.671,0.122,-0.793
1620102914089,2021-05-03T21.35.14.089,195.480,0.305,-0.122,-0.854
1620102914130,2021-05-03T21.35.14.130,195.521,-0.549,-0.244,-1.159
1620102914170,2021-05-03T21.35.14.170,195.561,-0.732,0.244,-1.585
1620102914211,2021-05-03T21.35.14.211,195.602,-0.976,0.671,-2.256
1620102914250,2021-05-03T21.35.14.250,195.641,-0.488,-0.183,-2.317
