epoc (ms),timestamp (-0700),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1619922291780,2021-05-01T19.24.51.780,0.000,0.183,-0.976,-1.707
1619922291821,2021-05-01T19.24.51.821,0.041,0.244,-1.159,-1.341
1619922291860,2021-05-01T19.24.51.860,0.080,0.488,-0.854,-0.915
1619922291900,2021-05-01T19.24.51.900,0.120,0.732,-0.610,-0.366
1619922291941,2021-05-01T19.24.51.941,0.161,0.427,-0.305,-0.305
1619922291980,2021-05-01T19.24.51.980,0.200,-0.488,-0.427,-0.549
1619922292021,2021-05-01T19.24.52.021,0.241,-0.915,-1.280,-0.427
1619922292061,2021-05-01T19.24.52.061,0.281,-1.037,-1.341,-0.305
1619922292102,2021-05-01T19.24.52.102,0.322,-1.402,-2.561,-0.183
1619922292141,2021-05-01T19.24.52.141,0.361,-1.463,-5.427,1.463
1619922292182,2021-05-01T19.24.52.182,0.402,0.976,-10.976,5.671
1619922292222,2021-05-01T19.24.52.222,0.442,1.585,-25.183,10.610
1619922292263,2021-05-01T19.24.52.263,0.483,-6.829,-41.402,18.841
1619922292302,2021-05-01T19.24.52.302,0.522,-14.451,-51.463,34.817
1619922292343,2021-05-01T19.24.52.343,0.563,-13.841,-60.671,53.720
1619922292383,2021-05-01T19.24.52.383,0.603,-16.037,-72.683,65.915
1619922292424,2021-05-01T19.24.52.424,0.644,-25.915,-74.451,71.037
1619922292464,2021-05-01T19.24.52.464,0.684,-23.110,-69.451,67.500
1619922292505,2021-05-01T19.24.52.505,0.725,-16.890,-66.585,57.866
1619922292544,2021-05-01T19.24.52.544,0.764,-16.280,-61.768,46.098
1619922292585,2021-05-01T19.24.52.585,0.805,-21.890,-55.793,35.427
1619922292625,2021-05-01T19.24.52.625,0.845,-26.890,-45.488,25.610
1619922292664,2021-05-01T19.24.52.664,0.884,-24.146,-28.537,13.841
1619922292705,2021-05-01T19.24.52.705,0.925,-15.854,-5.793,2.012
1619922292745,2021-05-01T19.24.52.745,0.965,-5.488,8.780,-10.976
1619922292786,2021-05-01T19.24.52.786,1.006,-0.244,13.963,-21.098
1619922292825,2021-05-01T19.24.52.825,1.045,-12.561,17.256,-25.244
1619922292866,2021-05-01T19.24.52.866,1.086,-17.012,16.707,-23.476
1619922292906,2021-05-01T19.24.52.906,1.126,-1.707,13.720,-16.646
1619922292947,2021-05-01T19.24.52.947,1.167,-5.061,10.976,-10.976
1619922292987,2021-05-01T19.24.52.987,1.207,-32.866,18.354,-3.841
1619922293028,2021-05-01T19.24.53.028,1.248,-18.476,20.793,1.280
1619922293067,2021-05-01T19.24.53.067,1.287,-7.500,18.659,-2.500
1619922293108,2021-05-01T19.24.53.108,1.328,-19.268,20.610,-4.207
1619922293148,2021-05-01T19.24.53.148,1.368,7.012,18.171,-6.280
1619922293189,2021-05-01T19.24.53.189,1.409,2.439,13.110,-19.207
1619922293228,2021-05-01T19.24.53.228,1.448,6.098,5.366,-9.695
1619922293269,2021-05-01T19.24.53.269,1.489,4.268,3.415,1.159
1619922293309,2021-05-01T19.24.53.309,1.529,13.476,1.159,2.134
1619922293348,2021-05-01T19.24.53.348,1.568,22.134,-5.610,1.768
1619922293389,2021-05-01T19.24.53.389,1.609,10.915,-7.866,8.476
1619922293429,2021-05-01T19.24.53.429,1.649,7.744,-1.341,10.366
1619922293470,2021-05-01T19.24.53.470,1.690,10.732,4.817,1.280
1619922293509,2021-05-01T19.24.53.509,1.729,3.476,8.659,-8.476
1619922293551,2021-05-01T19.24.53.551,1.771,4.695,8.354,-8.171
1619922293590,2021-05-01T19.24.53.590,1.810,2.439,13.659,-6.220
1619922293631,2021-05-01T19.24.53.631,1.851,1.768,17.866,-8.537
1619922293671,2021-05-01T19.24.53.671,1.891,4.085,19.573,-12.683
1619922293712,2021-05-01T19.24.53.712,1.932,6.159,22.683,-16.768
1619922293751,2021-05-01T19.24.53.751,1.971,9.512,21.585,-18.780
1619922293792,2021-05-01T19.24.53.792,2.012,12.500,20.793,-18.110
1619922293832,2021-05-01T19.24.53.832,2.052,12.378,20.244,-15.000
1619922293873,2021-05-01T19.24.53.873,2.093,8.659,24.878,-14.024
1619922293912,2021-05-01T19.24.53.912,2.132,12.500,27.378,-12.988
1619922293953,2021-05-01T19.24.53.953,2.173,18.171,27.256,-13.354
1619922293993,2021-05-01T19.24.53.993,2.213,16.341,30.671,-11.098
1619922294034,2021-05-01T19.24.54.034,2.254,15.305,42.378,-9.878
1619922294073,2021-05-01T19.24.54.073,2.293,17.683,45.305,-11.280
1619922294113,2021-05-01T19.24.54.113,2.333,17.073,49.634,-12.317
1619922294154,2021-05-01T19.24.54.154,2.374,19.817,42.561,-9.329
1619922294194,2021-05-01T19.24.54.194,2.414,15.610,31.402,-5.793
1619922294235,2021-05-01T19.24.54.235,2.455,20.793,35.183,-12.744
1619922294274,2021-05-01T19.24.54.274,2.494,31.280,48.902,-35.549
1619922294315,2021-05-01T19.24.54.315,2.535,40.610,69.207,-68.598
1619922294355,2021-05-01T19.24.54.355,2.575,48.293,82.134,-95.244
1619922294396,2021-05-01T19.24.54.396,2.616,47.622,86.707,-99.390
1619922294435,2021-05-01T19.24.54.435,2.655,37.622,81.829,-83.598
1619922294476,2021-05-01T19.24.54.476,2.696,27.256,70.061,-60.854
1619922294516,2021-05-01T19.24.54.516,2.736,17.927,53.659,-33.659
1619922294557,2021-05-01T19.24.54.557,2.777,7.195,34.756,-13.476
1619922294596,2021-05-01T19.24.54.596,2.816,-0.061,19.756,-3.902
1619922294637,2021-05-01T19.24.54.637,2.857,0.854,9.756,3.354
1619922294677,2021-05-01T19.24.54.677,2.897,2.439,2.073,10.366
1619922294717,2021-05-01T19.24.54.717,2.937,0.000,-5.671,14.390
1619922294758,2021-05-01T19.24.54.758,2.978,-3.476,-10.000,15.366
1619922294799,2021-05-01T19.24.54.799,3.019,0.061,-7.866,12.744
1619922294838,2021-05-01T19.24.54.838,3.058,6.220,-2.927,3.841
1619922294878,2021-05-01T19.24.54.878,3.098,9.512,0.793,-6.524
1619922294919,2021-05-01T19.24.54.919,3.139,11.707,3.354,-12.378
1619922294958,2021-05-01T19.24.54.958,3.178,11.890,5.915,-15.854
1619922294999,2021-05-01T19.24.54.999,3.219,8.171,12.378,-16.707
1619922295039,2021-05-01T19.24.55.039,3.259,9.085,19.329,-22.317
1619922295080,2021-05-01T19.24.55.080,3.300,9.146,19.451,-28.110
1619922295119,2021-05-01T19.24.55.119,3.339,5.732,11.829,-25.915
1619922295160,2021-05-01T19.24.55.160,3.380,-0.793,-5.122,-11.890
1619922295200,2021-05-01T19.24.55.200,3.420,-2.805,-13.415,1.707
1619922295241,2021-05-01T19.24.55.241,3.461,1.707,-5.549,-5.732
1619922295280,2021-05-01T19.24.55.280,3.500,3.110,2.561,-22.500
1619922295322,2021-05-01T19.24.55.322,3.542,1.280,5.610,-31.524
